Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes,Cuisines Colours
Just Shawarma,Banashankari,3.8,5207,200,['1230 PM'],['10 PM'],Arabian,"['Home Delivery', 'Seating Not Available']",['Pocket friendly'],[],"['WholeMeatShawarma', 'ShawarmaRoll', 'Fries', 'ChickenShawarama', 'KeralaParatha']",['CourteousStaff'],[],[],28
Biriyani Gammath,Banashankari,NA,Not enough,300,"['12 No', '6 PM']","['4 PM', '1030 PM']","South Indian, Biryani",[],[],[],[],[],[],[],"2, 4"
Harshi Super Sandwich,Banashankari,3.5,5100,150,['1030 AM'],['930 PM'],"Fast Food, Street Food","['Home Delivery', 'Vegetarian Only']",[],[],"['ChocolateSandwich', 'DahiSandwich']",[],[],[],"3, 9"
Casablanka,Banashankari,3.7,5465,550,['11 AM'],['1030 PM'],"Cafe, Continental, Steak, Italian",['Live Sports Screening'],[],[],"['Pancakes', 'CajunChickenSizzler', 'JalapenoPoppers', 'ChickenWings', 'ChickenBurger', 'ChickenLasagne']",['Decor'],[],['CheesyFries'],"7, 6, 39, 10"
Pizza Hut,Banashankari,3.6,5340,750,['11 AM'],['11 PM'],"Pizza, Fast Food",['Home Delivery'],[],[],['PotatoWedges'],"['FriendlyStaff', 'ExtraordinaryService']",['ArtisticAmbience'],[],"12, 3"
Parampare,Banashankari,NA,Not enough,500,"['12 No', '7 PM']","['4 PM', '1030 PM']","Biryani, South Indian",['Home Delivery'],[],[],[],[],[],[],"4, 2"
Kavali,Banashankari,3.3,510,400,NA,NA,South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],2
The Chocolate Room,Banashankari,3.2,59,600,['11 AM'],['11 PM'],"Cafe, Desserts, Bakery","['Vegetarian Only', 'WifiServes Jain FoodDesserts and BakesOutdoor Seating']",[],[],[],[],[],[],"7, 5, 8"
Linnet Bar & Restaurant,Banashankari,NA,Not enough,1200,['1130 AM'],['1130 PM'],"North Indian, Chinese","['Full Bar Available', 'Nightlife']",[],[],[],[],[],[],"0, 1"
Hara Fine Dine,Banashankari,3.7,5466,800,"['12 No', '7 PM']","['330 PM', '11 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only', 'Valet Parking Available']",['Veggie friendly'],[],"['MalaiKofta', 'Jal-jeera', 'CorianderSoup', 'Manchurian', 'MangoLassi', 'PaneerPatiala']",[],"['LovelyAmbience', 'SoothingAmbience']",[],"0, 1"
Diabetics Dezire Sugarless Sweets and Bakes,Banashankari,3.1,55,300,['10 AM'],['9 PM'],"Desserts, Mithai","['Home Delivery', 'Vegetarian Only', 'Desserts and BakesWallet Accepted']",[],[],[],[],[],[],"5, 17"
Yo Roll Corner,Banashankari,3,57,200,['10 AM'],['930 PM'],Street Food,[],[],[],[],[],[],[],9
SLV Swadishta,Banashankari,3.4,574,300,['7 AM'],['1030 PM'],South Indian,['Vegetarian Only'],[],[],"['Coffee', 'JeeraRice']",[],[],[],2
Katriguppe Donne Biryani,Banashankari,NA,Not enough,300,"['12 No', '6 PM']","['4 PM', '1130 PM']",North Indian,"['Home Delivery', 'Seating Not Available', 'Self Service']",[],[],[],[],[],[],0
Roving Feast,Banashankari,3.7,5792,350,['11 AM'],['10 PM'],"Italian, Continental, Fast Food, Chinese",['Home Delivery'],[],['SmallcosyplaceservingabitofChinese'],"['ChickenRoll', 'DragonChopSuey', 'Nachos', 'PaneerRoll', 'EggRoll', 'FalafelRoll']",[],[],[],"10, 6, 3, 1"
Bengaluru Coffee House,Banashankari,3.7,540,150,"['630 AM', '4 PM']","['1230 PM', '830 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['Coffee', 'KharaBhath', 'IdliVada', 'MasalaDosa', 'TirupathiPongal', 'KhaliDosa']",[],[],[],2
Darbar,Banashankari,2.6,549,800,['11 AM'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Full Bar Available', 'NightlifeOutdoor SeatingSmoking Area']",[],[],[],[],[],[],"0, 1"
South Kitchen,Banashankari,4.1,5179,100,"['7 AM', '4 PM']","['12 No', '9 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['KharaBhath', 'KesariBhaat', 'IdliVada', 'CrispyVada', 'IdliChutney', 'FilterCoffee']",[],[],[],2
Vybhava,Banashankari,3.5,528,250,['630 AM'],['1030 PM'],"South Indian, North Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"2, 0"
Atithi,Banashankari,3,59,750,['1130 AM'],['1030 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],0
Dal Tadkaa,Banashankari,2.5,5194,300,"['12 No', '630 PM']","['3 PM', '1030 PM']",North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],"['VanillaIceCream', 'BoondhiRaita', 'TomatoSoup', 'DalTadka', 'Jal-jeera', 'SweetLassi']",['Decor'],[],[],0
Kidambi's Kitchen,Banashankari,2.8,541,300,['1145 AM'],['330 PM'],South Indian,"['Home Delivery', 'Vegetarian Only', 'Valet Parking Available']",[],[],[],[],[],[],2
CakeZone,Banashankari,3.6,510,500,['7 AM'],['12 Mi'],"Bakery, Desserts","['Delivery Only', 'Seating Not Available', 'Desserts and BakesWallet Accepted']",[],[],[],[],[],[],"8, 5"
Sandwichwallas,Banashankari,3.6,588,250,['1030 AM'],['10 PM'],Fast Food,['Vegetarian Only'],[],[],"['VegBurger', 'FrenchFries', 'OreoShake', 'GarlicBreadRichy']",[],[],[],3
Catch-up-ino,Banashankari,3.8,544,800,['11 AM'],['11 PM'],"Cafe, Burger, Steak, Continental, Chinese",['RooftopOutdoor SeatingSmoking AreaWifiLive Sports ScreeningWallet Accepted'],[],[],"['Shisha', 'Brownie', 'FrenchFries']",[],[],[],"7, 25, 39, 6, 1"
New Imperial Restaurant,Banashankari,3,516,450,['11 AM'],['11 PM'],"North Indian, Chinese",[],[],[],[],[],[],[],"0, 1"
Coffee Bytes,Banashankari,2.9,55,100,"['7 AM', '4 PM']","['1230 PM', '830 PM']","Fast Food, South Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"3, 2"
Five Star Chicken,Banashankari,2.8,520,300,['10 AM'],['10 PM'],"Fast Food, Burger",['Serves Halal'],[],[],[],[],[],[],"3, 25"
Sangam Military Hotel,Banashankari,3,58,250,['12 No'],['11 PM'],South Indian,[],[],[],[],[],[],[],2
Banashankari Donne Biryani,Banashankari,3.1,55,350,"['7 AM', '630 PM']","['330 PM', '11 PM']","South Indian, Chinese","['Breakfast', 'Home Delivery', 'Self Service']",[],[],[],[],[],[],"2, 1"
Shri Vinayaka Ice N Juice,Banashankari,NA,Not enough,150,['10 AM'],['10 PM'],"Beverages, Fast Food","['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],"15, 3"
Puliyogare Point,Banashankari,4,5200,100,['7 AM'],['10 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['SweetPongal', 'BisiBeleBhaath', 'Coffee', 'MiniIdli', 'VadaSambhar', 'CurdRice']",[],[],[],2
Rotti Mane,Banashankari,NA,Not enough,100,"['1130 AM', '7 PM']","['4 PM', '11 PM']",South Indian,['Vegetarian Only'],[],[],[],[],[],[],2
Stoned Monkey,Banashankari,4.4,5588,350,['11 AM'],['1 AM'],"Desserts, Ice Cream",['Desserts and BakesOutdoor SeatingWifi'],['Frozen delights'],[],"['Nachos', 'Cupcake', 'HotChocolateFudge', 'Tiramisu', 'Waffles', 'ButterscotchIceCream']",[],[],"['RedRomance', 'Mr.Rocher']","5, 14"
New Prashanth Hotel,Banashankari,3.4,517,400,"['12 No', '7 PM']","['4 PM', '11 PM']",South Indian,[],[],[],[],[],[],[],2
Gowri Sweet,Banashankari,NA,Not enough,400,['11 AM'],['11 PM'],"Mithai, Street Food","['Takeaway Only', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[],"17, 9"
The Biryani Cafe,Banashankari,3.7,5210,300,"['1230 PM', '630 PM']","['330 PM', '1030 PM']","Biryani, Andhra",['Home Delivery'],['Brilliant biryanis'],[],"['ChickenBiryani', 'ChickenKebab', 'VegBiryani', 'GingerChicken', 'EggBhurji', 'DonneBiryani']",[],[],"['ChillyChicken', 'HoneyChicken', 'CarrotHalwa', 'ChickenBiryani', 'SpicyFriedKebab', 'BiryaniCafeSpecialChickenFry', 'ChefSpecialChickenBoneless']","4, 11"
Soho Bar & Grill,Banashankari,2.5,5251,900,['11 AM'],['1130 PM'],"North Indian, Chinese, Thai","['Full Bar Available', 'Outdoor SeatingNightlifeSmoking Area']",[],[],"['Shisha', 'ThaiChicken', 'Beer']",['RooftopAmbience'],[],[],"0, 1, 22"
Kolkata Kathi Roll's,Banashankari,3.2,513,250,['9 AM'],['11 PM'],Fast Food,['Home Delivery'],[],[],[],[],[],[],3
ET Restaurants,Banashankari,NA,Not enough,400,['12 No'],['10 PM'],North Indian,['Home Delivery'],[],[],[],[],[],[],0
Nisarga Garden Restaurant,Banashankari,2.7,527,300,"['12 No', '7 PM']","['330 PM', '1030 PM']",South Indian,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],2
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Cuppa,Banashankari,3.2,514,550,['9 AM'],['11 PM'],"Cafe, Fast Food","['Breakfast', 'Outdoor Seating']",[],[],[],[],[],[],"7, 3"
Szechuan Dragon,Banashankari,3.9,5994,600,"['12 No', '7 PM']","['4 PM', '11 PM']","Chinese, Thai","['Home Delivery', 'Serves Non Veg']",[],['Valueformoney'],"['GobhiManchurian', 'Momos', 'VegManchowSoup', 'KungPaoChicken', 'ChickenLollipop', 'VegNoodle']","['CourteousStaff', 'FriendlyStaff']",[],[],"1, 22"
Pizza Stop,Banashankari,2.5,551,650,['1130 AM'],['1030 PM'],"Pizza, Italian","['Home Delivery', 'Vegetarian Only']",[],[],"['Nachos', 'ThinCrustPizza', 'WhiteSaucePasta']",[],[],[],"12, 10"
Presto Restaurant,Banashankari,2.8,5134,500,['11 AM'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['Coffee', 'LunchBuffet', 'Kulcha', 'CurdRice']",[],[],[],"0, 1"
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Aahar Utsav,Banashankari,2.9,531,500,['6 AM'],['11 PM'],"North Indian, South Indian, Chinese, Beverages","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"0, 2, 1, 15"
Asha Sweets Centre,Banashankari,3.2,511,100,['830 AM'],['10 PM'],"Desserts, Mithai","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"5, 17"
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Hotel Akshatha,Banashankari,NA,Not enough,300,"['12 No', '6 PM']","['4 PM', '10 PM']",South Indian,[],[],[],[],[],[],[],2
Basavanagudi Restaurant,Banashankari,3.2,539,300,['730 AM'],['930 PM'],"South Indian, North Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"2, 0"
Amande Patisserie,Banashankari,3.6,553,300,['9 AM'],['530 PM'],"Bakery, French, Desserts","['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],['Macaron'],[],[],[],"8, 42, 5"
Karavali Lunch Home,Banashankari,NA,Not enough,300,"['1130 AM', '6 PM']","['4 PM', '11 PM']",South Indian,['Home Delivery'],[],[],[],[],[],[],2
Nanda Gokula,Banashankari,3.3,536,400,['7 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"2, 0, 1"
Yaarub Hotel,Banashankari,NA,Not enough,250,['8 AM'],['11 PM'],South Indian,['Breakfast'],[],[],[],[],[],[],2
Anna Kuteera,Banashankari,3.7,5119,400,['7 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Wallet AcceptedSelf Service']",['Veggie friendly'],[],"['PaneerTikka', 'Breakfast', 'SetDosa']",[],[],"['OpenButterMasalaDosa', 'MoghalaiBiriyani', 'PannerKholapuri']","2, 0, 1"
SVKP Daily Fresh,Banashankari,3,54,350,"['6 AM', '6 PM']","['2 PM', '930 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],2
MonkeyBox,Banashankari,NA,Not enough,300,['12 No'],['9 PM'],"North Indian, Fast Food, Salad, Chinese","['Breakfast', 'Delivery Only', 'Seating Not Available', 'Kid Friendly']",[],[],[],[],[],[],"0, 3, 30, 1"
A2B - Adyar Ananda Bhavan,Banashankari,2.4,568,350,['7 AM'],['11 PM'],"South Indian, North Indian, Street Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],"2, 0, 9"
Tiwari's,Banashankari,3.6,566,200,['1230 PM'],['10 PM'],North Indian,['Vegetarian Only'],[],[],"['OnionParatha', 'SweetLassi', 'PaneerParatha', 'RajasthaniParatha', 'Bhelpuri', 'PalakParatha']",[],[],[],0
Taaza Thindi,Banashankari,4.4,5115,100,"['7 AM', '430 PM']","['12 No', '930 PM']",South Indian,"['Breakfast', 'Outdoor Seating']",[],[],"['MasalaDosa', 'Coffee', 'Breakfast', 'KesariBhaat']",[],[],[],2
Shuchi Ruchi,Banashankari,3.3,514,150,"['7 AM', '430 PM']","['1130 AM', '930 PM']","South Indian, Fast Food","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"2, 3"
Balaji Curry Point & Biryani,Banashankari,NA,Not enough,150,"['12 No', '7 PM']","['4 PM', '11 PM']","Andhra, Biryani",['Home Delivery'],[],[],[],[],[],[],"11, 4"
Behrouz Biryani,Banashankari,3.3,525,600,['11 AM'],['11 PM'],Biryani,"['Delivery Only', 'Seating Not Available', 'Serves Halal']",[],['FreshIngredients'],[],[],[],[],4
Bangalore Kabab Palace,Banashankari,NA,Not enough,150,['11 AM'],['1030 PM'],"Andhra, Biryani",[],[],[],[],[],[],[],"11, 4"
Ravi Gobi Bindhu Chinese Center,Banashankari,3.4,547,100,['7 PM'],['1030 PM'],Chinese,"['Home Delivery', 'Vegetarian Only']",[],[],['GobhiManchurian'],[],[],[],1
Warm Oven,Banashankari,4.4,5562,350,['8 AM'],['12 Mi'],Bakery,"['Delivery Only', 'Seating Not Available', 'Desserts and Bakes']",['Just delivery'],[],"['Cupcake', 'EgglessCake', 'ChocolateCreamCake', 'PhotoCake', 'FruitCake', 'ChocolateTruffleCake']",[],[],[],8
Srikrishna Bhavan,Banashankari,3.1,516,300,['6 AM'],['10 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"2, 0, 1"
Shalini Veg,Banashankari,3.3,517,500,['7 AM'],['11 PM'],"North Indian, Chinese","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"0, 1"
Hotel Dwarka,Banashankari,3.9,5154,250,NA,NA,South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['KhaliDosa', 'KaliDosa', 'MasalaDosa', 'Upma', 'FilterCoffee', 'KesariBhaat']",[],[],[],2
Kolbeh,Banashankari,3.3,511,500,['11 AM'],['10 PM'],"British, Burger",['Home Delivery'],[],[],[],[],[],[],"78, 25"
Café Down The Alley,Banashankari,3.7,555,500,['10 AM'],['10 PM'],Continental,['Live Sports ScreeningLive EntertainmentLive MusicOutdoor SeatingSmoking Area'],[],[],['Coffee'],[],[],[],6
Sri Venkateshwara Fast Food,Banashankari,NA,Not enough,250,['7 AM'],['11 PM'],"Chinese, North Indian, South Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"1, 0, 2"
Cakeport,Banashankari,2.9,518,400,['10 AM'],['10 PM'],Bakery,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],8
Chung Wah,Banashankari,3.6,5406,700,"['12 No', '7 PM']","['4 PM', '1030 PM']",Chinese,['Home Delivery'],[],[],"['SchezwanFriedRice', 'SpringRoll', 'Chowmein', 'ManchowSoup', 'HakkaNoodle', 'CrispyChilliPotato']",[],[],[],1
The Cupcake Swag,Banashankari,NA,Not enough,200,['10 AM'],['11 PM'],"Bakery, Desserts","['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[],"8, 5"
The Frozen,Banashankari,3.6,532,300,['11 AM'],['11 PM'],"Desserts, Ice Cream, Fast Food","['Home Delivery', 'Desserts and BakesOutdoor Seating']",[],[],"['IceCreamRoll', 'StonedIceCreams']",[],[],[],"5, 14, 3"
Ayda Persian Kitchen,Banashankari,3.3,539,700,['12 No'],['11 PM'],"Parsi, North Indian","['Home Delivery', 'Serves Non Veg']",[],[],[],[],[],[],"54, 0"
Kaivalya chaats,Banashankari,NA,Not enough,300,['830 AM'],['10 PM'],"Burger, Cafe","['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],"25, 7"
Athitis Veg,Banashankari,NA,Not enough,150,['730 AM'],['10 PM'],"Chinese, North Indian, South Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"1, 0, 2"
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Caf-Eleven,Banashankari,3.6,5143,450,['11 AM'],['11 PM'],"Cafe, Continental",['Outdoor SeatingSmoking AreaRooftop'],[],[],"['Shisha', 'VirginMojito', 'Nachos', 'HotChocolate', 'ChickenSteak', 'HazelnutCappuccino']",['FriendlyStaff'],['Decor'],[],"7, 6"
Indy Hop,Banashankari,2.7,538,300,['12 No'],['10 PM'],Street Food,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],9
Vickys The Snack Zone,Banashankari,NA,Not enough,300,['1 PM'],['10 PM'],"Chinese, Fast Food, Desserts","['Home Delivery', 'Vegetarian Only', 'Self ServiceServes Jain FoodDesserts and Bakes']",[],[],[],[],[],[],"1, 3, 5"
Bharjari Oota,Banashankari,3.6,532,300,"['12 No', '7 PM']","['330 PM', '11 PM']",South Indian,['Vegetarian Only'],[],[],"['MasalaDosa', 'CurdRice']",[],[],[],2
Grill Magic,Banashankari,2.9,54,600,['1230 PM'],['11 PM'],"North Indian, South Indian, Chinese",['Home Delivery'],[],[],[],[],[],[],"0, 2, 1"
Srinivasa Darshan,Banashankari,3,56,200,['730 AM'],['1030 PM'],"South Indian, Chinese, North Indian, Street Food","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"2, 1, 0, 9"
Zephyr,Banashankari,3.6,582,650,['9 AM'],['1130 PM'],"Italian, Continental","['Vegetarian Only', 'Full Bar Available', 'Outdoor Seating']",[],[],['ChilliPaneerPizza'],[],[],[],"10, 6"
1947,Banashankari,3.5,5519,750,"['1230 PM', '7 PM']","['330 PM', '1030 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only']","['Great buffets', 'Veggie friendly']",[],"['GulabJamun', 'Rabri', 'TomatoBasilSoup', 'Kulcha', 'PaneerTikkaLababdar', 'Jal-jeera']",['FriendlyStaff'],[],[],"0, 1"
Cake Yard,Banashankari,2.9,511,150,['8 AM'],['10 PM'],Desserts,"['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],5
Five Star Chicken,Banashankari,NA,Not enough,300,['11 AM'],['11 PM'],"Fast Food, Burger",['Home Delivery'],[],[],[],[],[],[],"3, 25"
Roti Ghar,Banashankari,3.5,5447,300,['7 AM'],['11 PM'],"North Indian, Chinese, South Indian","['Breakfast', 'Vegetarian Only']",[],[],"['Coffee', 'PaneerButterMasala', 'SpringRoll', 'Breakfast', 'Kulcha', 'RavaIdli']",[],[],[],"0, 1, 2"
Udupi Upahar,Banashankari,3.2,524,300,['7 AM'],['10 PM'],"North Indian, South Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"0, 2, 1"
A1 Ambur Dum Biryani Centre,Banashankari,2.9,56,200,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[],4
Rolls On Wheels,Banashankari,2.6,5113,300,['1030 AM'],['10 PM'],Fast Food,"['Home Delivery', 'Serves Halal']",[],[],"['Fries', 'VegRoll', 'ChickenKebabRoll', 'PaneerRoll', 'FriedMomos']",[],[],[],3
Great Indian Bhukkad,Banashankari,3.4,526,200,['10 AM'],['3 PM'],Chinese,"['Seating Not Available', 'Vegetarian Only', 'Buffet']",[],[],[],[],[],"['CrispyChillyPotato', 'SchezwanTripleFriedRice', 'ChillyGarlicMomos', 'DarjeelingSteamMomos', 'AmericanChoupsey', 'NoodlesMayoWrap']",1
Nandi Chats and Juice,Banashankari,3.2,519,150,['5 PM'],['10 PM'],Street Food,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],9
Mane Thindi,Banashankari,3.4,5107,200,['7 AM'],['930 PM'],South Indian,"['Home Delivery', 'Vegetarian Only']",[],[],"['Coffee', 'KesariBhaat']",[],[],[],2
Nimmoora Thindi,Banashankari,NA,Not enough,400,['7 AM'],['1130 PM'],"North Indian, South Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"0, 2"
Thinde Katte,Banashankari,3.1,515,300,['630 AM'],['10 PM'],South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],2
KC Das - Sweet Spot,Banashankari,3.3,540,100,['10 AM'],['9 PM'],"Mithai, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"17, 9"
Subway,Banashankari,3.7,585,600,['1030 AM'],['11 PM'],"Fast Food, Salad, Healthy Food",['Home Delivery'],[],[],['VeggieDelight'],[],[],[],"3, 30, 24"
Pramukh Family Restaurant,Banashankari,3.5,588,600,['12 No'],['11 PM'],"North Indian, Chinese","['Full Bar Available', 'Smoking Area']",[],[],"['ChickenGheeRoast', 'ButterChicken', 'MalaiKofta', 'Beer', 'LemonChicken']",[],['Decor'],[],"0, 1"
New Prashanth Hotel,Banashankari,3.5,575,500,"['12 No', '7 PM']","['4 PM', '11 PM']","Biryani, North Indian",['Home Delivery'],[],[],['RagiMudde'],[],[],[],"4, 0"
Bunt's Biriyani Palace,Banashankari,2.7,573,350,"['11 AM', '630 PM']","['330 PM', '1030 PM']","North Indian, South Indian, Chinese, Biryani, Seafood",['Home Delivery'],[],[],['NeerDosa'],[],[],[],"0, 2, 1, 4, 20"
KFC,Banashankari,2.8,5127,400,['11 AM'],['11 PM'],"American, Fast Food",['Home Delivery'],[],[],[],[],[],[],"13, 3"
Hotel Mangala,Banashankari,3.6,548,250,"['7 AM', '4 PM']","['1230 PM', '9 PM']",South Indian,['Vegetarian Only'],[],[],[],[],[],[],2
Krishna Sagar,Banashankari,2.8,515,200,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],0
Seven Star,Banashankari,NA,Not enough,250,['1130 AM'],['1030 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[],"0, 1"
Chaatimes,Banashankari,3.4,566,250,['12 No'],['10 PM'],"Street Food, Fast Food","['Vegetarian Only', 'Serves Jain Food']",[],[],"['PavBhaji', 'Dabeli', 'Faluda', 'TokriChaat', 'DahiBatataPuri', 'PalakChaat']",[],[],[],"9, 3"
Udupi Grand,Banashankari,3.1,55,300,['630 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only', 'Wallet Accepted']",[],[],[],[],[],[],"2, 0, 1"
Pure & Natural,Banashankari,2.6,595,500,['11 AM'],['11 PM'],"Fast Food, Continental, Beverages, Salad, Healthy Food","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['RussianSalad', 'BasilPasta', 'ChopSueySalad', 'CornSandwich', 'AmericanChopSuey', 'PennePrimavera']",[],[],[],"3, 6, 15, 30, 24"
Cafe Coffee Day,Banashankari,2.8,534,450,['9 AM'],['11 PM'],Cafe,['Breakfast'],[],['PremiumoutletofCCD'],[],[],[],[],7
Imperial Restaurant,Banashankari,3.6,518,700,['11 AM'],['11 PM'],"North Indian, Chinese, Biryani","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],"0, 1, 4"
Nandhini Deluxe,Banashankari,2.2,5119,800,"['1130 AM', '630 PM']","['330 PM', '1030 PM']","Andhra, Chinese, North Indian","['Home Delivery', 'Full Bar Available']",[],[],['GunturChicken'],[],[],[],"11, 1, 0"
Wheat & Bread,Banashankari,NA,Not enough,500,['9 AM'],['10 PM'],"Fast Food, Street Food","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[],"3, 9"
La Mirch,Banashankari,NA,Not enough,400,['24 Ho'],[],North Indian,"['Breakfast', 'Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],0
New Sagar Fast Food,Banashankari,3.2,536,250,['10 AM'],['11 PM'],"North Indian, South Indian",['Vegetarian Only'],[],[],"['Kulcha', 'MasalaDosa', 'MasalaPapad']",[],[],[],"0, 2"
RICE BAR,Banashankari,NA,Not enough,500,['1030 AM'],['1030 PM'],"North Indian, Biryani","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],"0, 4"
Thanco's Natural Ice Cream,Banashankari,NA,Not enough,150,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Home Delivery', 'Vegetarian Only', 'Wallet AcceptedDesserts and BakesOutdoor Seating']",[],[],[],[],[],[],"14, 5"
Wonder Sipp,Banashankari,NA,Not enough,400,['10 AM'],['10 PM'],Juices,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],21
Upahara Darshini,Banashankari,4,5195,150,['7 AM'],['10 PM'],South Indian,['Vegetarian Only'],[],[],"['MasalaDosa', 'BondaSoup', 'CurdVada', 'SetDosa', 'IdliSambhar', 'DahiVada']",[],[],[],2
Maratha Biryani,Banashankari,3,59,250,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[],4
Janahaar,Banashankari,3.4,545,100,['730 AM'],['9 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['Breakfast', 'MasalaDosa', 'FilterCoffee']",[],[],[],2
K27 - The Pub,Banashankari,2.8,511,1000,['1030 AM'],['11 PM'],"Chinese, North Indian","['Home Delivery', 'Full Bar Available', 'Outdoor SeatingNightlife']",[],[],[],[],[],[],"1, 0"
Sea Spice by 7 Star,Banashankari,3.8,5232,1200,['11 AM'],['11 PM'],"Seafood, South Indian, North Indian","['Home Delivery', 'Full Bar Available', 'Outdoor Seating']",['Super seafood'],['Mouthwatering'],"['NeerDosa', 'Appam', 'AnjalMasalaFry', 'ChickenGheeRoast', 'ChickenBiryani', 'CoconutPudding']",[],['RooftopAmbience'],[],"20, 2, 0"
