Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes
A2B - Adyar Ananda Bhavan,Banashankari,2.4,568,350,['7 AM'],['11 PM'],"South Indian, North Indian, Street Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Tiwari's,Banashankari,3.6,566,200,['1230 PM'],['10 PM'],North Indian,['Vegetarian Only'],[],[],"['OnionParatha', 'SweetLassi', 'PaneerParatha', 'RajasthaniParatha', 'Bhelpuri', 'PalakParatha']",[],[],[]
Taaza Thindi,Banashankari,4.4,5115,100,"['7 AM', '430 PM']","['12 No', '930 PM']",South Indian,"['Breakfast', 'Outdoor Seating']",[],[],"['MasalaDosa', 'Coffee', 'Breakfast', 'KesariBhaat']",[],[],[]
Shuchi Ruchi,Banashankari,3.3,514,150,"['7 AM', '430 PM']","['1130 AM', '930 PM']","South Indian, Fast Food","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Balaji Curry Point & Biryani,Banashankari,NA,Not enough,150,"['12 No', '7 PM']","['4 PM', '11 PM']","Andhra, Biryani",['Home Delivery'],[],[],[],[],[],[]
Behrouz Biryani,Banashankari,3.3,525,600,['11 AM'],['11 PM'],Biryani,"['Delivery Only', 'Seating Not Available', 'Serves Halal']",[],['FreshIngredients'],[],[],[],[]
Bangalore Kabab Palace,Banashankari,NA,Not enough,150,['11 AM'],['1030 PM'],"Andhra, Biryani",[],[],[],[],[],[],[]
Ravi Gobi Bindhu Chinese Center,Banashankari,3.4,547,100,['7 PM'],['1030 PM'],Chinese,"['Home Delivery', 'Vegetarian Only']",[],[],['GobhiManchurian'],[],[],[]
Warm Oven,Banashankari,4.4,5562,350,['8 AM'],['12 Mi'],Bakery,"['Delivery Only', 'Seating Not Available', 'Desserts and Bakes']",['Just delivery'],[],"['Cupcake', 'EgglessCake', 'ChocolateCreamCake', 'PhotoCake', 'FruitCake', 'ChocolateTruffleCake']",[],[],[]
Srikrishna Bhavan,Banashankari,3.1,516,300,['6 AM'],['10 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Shalini Veg,Banashankari,3.3,517,500,['7 AM'],['11 PM'],"North Indian, Chinese","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Hotel Dwarka,Banashankari,3.9,5154,250,NA,NA,South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['KhaliDosa', 'KaliDosa', 'MasalaDosa', 'Upma', 'FilterCoffee', 'KesariBhaat']",[],[],[]
Kolbeh,Banashankari,3.3,511,500,['11 AM'],['10 PM'],"British, Burger",['Home Delivery'],[],[],[],[],[],[]
Café Down The Alley,Banashankari,3.7,555,500,['10 AM'],['10 PM'],Continental,['Live Sports ScreeningLive EntertainmentLive MusicOutdoor SeatingSmoking Area'],[],[],['Coffee'],[],[],[]
Sri Venkateshwara Fast Food,Banashankari,NA,Not enough,250,['7 AM'],['11 PM'],"Chinese, North Indian, South Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Cakeport,Banashankari,2.9,518,400,['10 AM'],['10 PM'],Bakery,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Chung Wah,Banashankari,3.6,5406,700,"['12 No', '7 PM']","['4 PM', '1030 PM']",Chinese,['Home Delivery'],[],[],"['SchezwanFriedRice', 'SpringRoll', 'Chowmein', 'ManchowSoup', 'HakkaNoodle', 'CrispyChilliPotato']",[],[],[]
The Cupcake Swag,Banashankari,NA,Not enough,200,['10 AM'],['11 PM'],"Bakery, Desserts","['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[]
The Frozen,Banashankari,3.6,532,300,['11 AM'],['11 PM'],"Desserts, Ice Cream, Fast Food","['Home Delivery', 'Desserts and BakesOutdoor Seating']",[],[],"['IceCreamRoll', 'StonedIceCreams']",[],[],[]
Ayda Persian Kitchen,Banashankari,3.3,539,700,['12 No'],['11 PM'],"Parsi, North Indian","['Home Delivery', 'Serves Non Veg']",[],[],[],[],[],[]
Kaivalya chaats,Banashankari,NA,Not enough,300,['830 AM'],['10 PM'],"Burger, Cafe","['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Athitis Veg,Banashankari,NA,Not enough,150,['730 AM'],['10 PM'],"Chinese, North Indian, South Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Caf-Eleven,Banashankari,3.6,5143,450,['11 AM'],['11 PM'],"Cafe, Continental",['Outdoor SeatingSmoking AreaRooftop'],[],[],"['Shisha', 'VirginMojito', 'Nachos', 'HotChocolate', 'ChickenSteak', 'HazelnutCappuccino']",['FriendlyStaff'],['Decor'],[]
Indy Hop,Banashankari,2.7,538,300,['12 No'],['10 PM'],Street Food,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Vickys The Snack Zone,Banashankari,NA,Not enough,300,['1 PM'],['10 PM'],"Chinese, Fast Food, Desserts","['Home Delivery', 'Vegetarian Only', 'Self ServiceServes Jain FoodDesserts and Bakes']",[],[],[],[],[],[]
Bharjari Oota,Banashankari,3.6,532,300,"['12 No', '7 PM']","['330 PM', '11 PM']",South Indian,['Vegetarian Only'],[],[],"['MasalaDosa', 'CurdRice']",[],[],[]
Grill Magic,Banashankari,2.9,54,600,['1230 PM'],['11 PM'],"North Indian, South Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Srinivasa Darshan,Banashankari,3,56,200,['730 AM'],['1030 PM'],"South Indian, Chinese, North Indian, Street Food","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Zephyr,Banashankari,3.6,582,650,['9 AM'],['1130 PM'],"Italian, Continental","['Vegetarian Only', 'Full Bar Available', 'Outdoor Seating']",[],[],['ChilliPaneerPizza'],[],[],[]
1947,Banashankari,3.5,5519,750,"['1230 PM', '7 PM']","['330 PM', '1030 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only']","['Great buffets', 'Veggie friendly']",[],"['GulabJamun', 'Rabri', 'TomatoBasilSoup', 'Kulcha', 'PaneerTikkaLababdar', 'Jal-jeera']",['FriendlyStaff'],[],[]
Cake Yard,Banashankari,2.9,511,150,['8 AM'],['10 PM'],Desserts,"['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Five Star Chicken,Banashankari,NA,Not enough,300,['11 AM'],['11 PM'],"Fast Food, Burger",['Home Delivery'],[],[],[],[],[],[]
Roti Ghar,Banashankari,3.5,5447,300,['7 AM'],['11 PM'],"North Indian, Chinese, South Indian","['Breakfast', 'Vegetarian Only']",[],[],"['Coffee', 'PaneerButterMasala', 'SpringRoll', 'Breakfast', 'Kulcha', 'RavaIdli']",[],[],[]
Udupi Upahar,Banashankari,3.2,524,300,['7 AM'],['10 PM'],"North Indian, South Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
A1 Ambur Dum Biryani Centre,Banashankari,2.9,56,200,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[]
Rolls On Wheels,Banashankari,2.6,5113,300,['1030 AM'],['10 PM'],Fast Food,"['Home Delivery', 'Serves Halal']",[],[],"['Fries', 'VegRoll', 'ChickenKebabRoll', 'PaneerRoll', 'FriedMomos']",[],[],[]
Great Indian Bhukkad,Banashankari,3.4,526,200,['10 AM'],['3 PM'],Chinese,"['Seating Not Available', 'Vegetarian Only', 'Buffet']",[],[],[],[],[],"['CrispyChillyPotato', 'SchezwanTripleFriedRice', 'ChillyGarlicMomos', 'DarjeelingSteamMomos', 'AmericanChoupsey', 'NoodlesMayoWrap']"
Nandi Chats and Juice,Banashankari,3.2,519,150,['5 PM'],['10 PM'],Street Food,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Mane Thindi,Banashankari,3.4,5107,200,['7 AM'],['930 PM'],South Indian,"['Home Delivery', 'Vegetarian Only']",[],[],"['Coffee', 'KesariBhaat']",[],[],[]
Nimmoora Thindi,Banashankari,NA,Not enough,400,['7 AM'],['1130 PM'],"North Indian, South Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Thinde Katte,Banashankari,3.1,515,300,['630 AM'],['10 PM'],South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
KC Das - Sweet Spot,Banashankari,3.3,540,100,['10 AM'],['9 PM'],"Mithai, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Subway,Banashankari,3.7,585,600,['1030 AM'],['11 PM'],"Fast Food, Salad, Healthy Food",['Home Delivery'],[],[],['VeggieDelight'],[],[],[]
Pramukh Family Restaurant,Banashankari,3.5,588,600,['12 No'],['11 PM'],"North Indian, Chinese","['Full Bar Available', 'Smoking Area']",[],[],"['ChickenGheeRoast', 'ButterChicken', 'MalaiKofta', 'Beer', 'LemonChicken']",[],['Decor'],[]
New Prashanth Hotel,Banashankari,3.5,575,500,"['12 No', '7 PM']","['4 PM', '11 PM']","Biryani, North Indian",['Home Delivery'],[],[],['RagiMudde'],[],[],[]
Bunt's Biriyani Palace,Banashankari,2.7,573,350,"['11 AM', '630 PM']","['330 PM', '1030 PM']","North Indian, South Indian, Chinese, Biryani, Seafood",['Home Delivery'],[],[],['NeerDosa'],[],[],[]
KFC,Banashankari,2.8,5127,400,['11 AM'],['11 PM'],"American, Fast Food",['Home Delivery'],[],[],[],[],[],[]
Hotel Mangala,Banashankari,3.6,548,250,"['7 AM', '4 PM']","['1230 PM', '9 PM']",South Indian,['Vegetarian Only'],[],[],[],[],[],[]
Krishna Sagar,Banashankari,2.8,515,200,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Seven Star,Banashankari,NA,Not enough,250,['1130 AM'],['1030 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Chaatimes,Banashankari,3.4,566,250,['12 No'],['10 PM'],"Street Food, Fast Food","['Vegetarian Only', 'Serves Jain Food']",[],[],"['PavBhaji', 'Dabeli', 'Faluda', 'TokriChaat', 'DahiBatataPuri', 'PalakChaat']",[],[],[]
Udupi Grand,Banashankari,3.1,55,300,['630 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only', 'Wallet Accepted']",[],[],[],[],[],[]
Pure & Natural,Banashankari,2.6,595,500,['11 AM'],['11 PM'],"Fast Food, Continental, Beverages, Salad, Healthy Food","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['RussianSalad', 'BasilPasta', 'ChopSueySalad', 'CornSandwich', 'AmericanChopSuey', 'PennePrimavera']",[],[],[]
Cafe Coffee Day,Banashankari,2.8,534,450,['9 AM'],['11 PM'],Cafe,['Breakfast'],[],['PremiumoutletofCCD'],[],[],[],[]
Imperial Restaurant,Banashankari,3.6,518,700,['11 AM'],['11 PM'],"North Indian, Chinese, Biryani","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Nandhini Deluxe,Banashankari,2.2,5119,800,"['1130 AM', '630 PM']","['330 PM', '1030 PM']","Andhra, Chinese, North Indian","['Home Delivery', 'Full Bar Available']",[],[],['GunturChicken'],[],[],[]
Wheat & Bread,Banashankari,NA,Not enough,500,['9 AM'],['10 PM'],"Fast Food, Street Food","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
La Mirch,Banashankari,NA,Not enough,400,['24 Ho'],[],North Indian,"['Breakfast', 'Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
New Sagar Fast Food,Banashankari,3.2,536,250,['10 AM'],['11 PM'],"North Indian, South Indian",['Vegetarian Only'],[],[],"['Kulcha', 'MasalaDosa', 'MasalaPapad']",[],[],[]
RICE BAR,Banashankari,NA,Not enough,500,['1030 AM'],['1030 PM'],"North Indian, Biryani","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
Thanco's Natural Ice Cream,Banashankari,NA,Not enough,150,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Home Delivery', 'Vegetarian Only', 'Wallet AcceptedDesserts and BakesOutdoor Seating']",[],[],[],[],[],[]
Wonder Sipp,Banashankari,NA,Not enough,400,['10 AM'],['10 PM'],Juices,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Upahara Darshini,Banashankari,4,5195,150,['7 AM'],['10 PM'],South Indian,['Vegetarian Only'],[],[],"['MasalaDosa', 'BondaSoup', 'CurdVada', 'SetDosa', 'IdliSambhar', 'DahiVada']",[],[],[]
Maratha Biryani,Banashankari,3,59,250,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[]
Janahaar,Banashankari,3.4,545,100,['730 AM'],['9 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['Breakfast', 'MasalaDosa', 'FilterCoffee']",[],[],[]
K27 - The Pub,Banashankari,2.8,511,1000,['1030 AM'],['11 PM'],"Chinese, North Indian","['Home Delivery', 'Full Bar Available', 'Outdoor SeatingNightlife']",[],[],[],[],[],[]
Sea Spice by 7 Star,Banashankari,3.8,5232,1200,['11 AM'],['11 PM'],"Seafood, South Indian, North Indian","['Home Delivery', 'Full Bar Available', 'Outdoor Seating']",['Super seafood'],['Mouthwatering'],"['NeerDosa', 'Appam', 'AnjalMasalaFry', 'ChickenGheeRoast', 'ChickenBiryani', 'CoconutPudding']",[],['RooftopAmbience'],[]
Baskin Robbins,Banashankari,3.1,57,300,['1130 AM'],['1130 PM'],Ice Cream,"['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Sri Akshatha Hotel,Banashankari,NA,Not enough,400,['12 No'],['10 PM'],"Biryani, South Indian",[],[],[],[],[],[],[]
Crunch Pizzas,Banashankari,NA,Not enough,600,['24 Ho'],[],"Italian, Pizza","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
Parimala Sweets,Banashankari,3,511,200,['9 AM'],['9 PM'],"Mithai, Street Food","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Kitchen Bells,Banashankari,NA,Not enough,100,['7 AM'],['11 PM'],"South Indian, Chinese",['Breakfast'],[],[],[],[],[],[]
Karavali Lunch Home,Banashankari,NA,Not enough,300,"['1230 PM', '7 PM']","['4 PM', '11 PM']","South Indian, North Indian, Seafood",['Home Delivery'],[],[],[],[],[],[]
Ibaco,Banashankari,3.7,5173,150,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Vegetarian Only', 'Desserts and Bakes']",['Frozen delights'],[],"['IceCreamCake', 'Brownie', 'BelgiumChocolate', 'Tiramisu']",[],[],[]
Iyer's Tiffin Centre,Banashankari,3.4,552,150,['7 AM'],['330 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],['KesariBhaat'],[],[],[]
Upahar Sagar,Banashankari,3.3,518,200,['630 AM'],['1030 PM'],"South Indian, Chinese, North Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Sv Biriyani,Banashankari,NA,Not enough,300,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[]
Thrilok Restaurant,Banashankari,3.1,54,350,"['1130 AM', '630 PM']","['4 PM', '11 PM']","Mangalorean, Seafood",[],[],[],[],[],[],[]
Donne Biriyani Mane,Banashankari,3.2,59,400,['12 No'],['10 PM'],Biryani,[],[],[],[],[],[],[]
Mantra Restaurant,Banashankari,2.7,545,550,"['12 No', '7 PM']","['330 PM', '11 PM']","Biryani, North Indian",['Home Delivery'],[],[],[],[],[],[]
Pattaka Vada Pav,Banashankari,2.9,514,150,['11 AM'],['10 PM'],"Street Food, Fast Food","['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Juice N Chats,Banashankari,NA,Not enough,150,['930 AM'],['1030 PM'],"Street Food, Juices",['Vegetarian Only'],[],[],[],[],[],[]
Poonam Sweets,Banashankari,4.2,5218,150,['8 AM'],['930 PM'],"Mithai, Street Food","['Breakfast', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],"['Samosa', 'Dhokla', 'Kachori', 'Rabri', 'Rasmalai', 'Rasgulla']",[],[],[]
New Prashanth Hotel,Banashankari,2.9,59,500,"['12 No', '7 PM']","['4 PM', '11 PM']","Andhra, North Indian",['Home Delivery'],[],[],[],[],[],[]
Anand Sweets and Savouries,Banashankari,3.3,539,200,['9 AM'],['1030 PM'],"Mithai, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Vybhav South,Banashankari,3.1,55,300,['6 AM'],['10 PM'],South Indian,"['Breakfast', 'Outdoor SeatingSelf Service']",[],[],[],[],[],[]
Ammi's Biryani,Banashankari,2.3,596,500,['12 No'],['11 PM'],"Biryani, North Indian",['Home Delivery'],[],['Home-liketastewithnaturalingredientsenhancingtheflavourandaroma'],['VegHyderabadiBiryani'],[],[],[]
Addhuri Udupi Bhojana,Banashankari,3.3,516,300,"['1130 AM', '7 PM']","['330 PM', '10 PM']","South Indian, North Indian","['Vegetarian Only', 'Vegetarian FriendlyWallet AcceptedKid Friendly']",[],[],[],[],[],[]
By2cafe,Banashankari,NA,Not enough,300,['6 AM'],['10 PM'],"South Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Simple Thindies,Banashankari,NA,Not enough,200,"['7 AM', '430 PM']","['12 No', '730 PM']",South Indian,"['Breakfast', 'Self Service']",[],[],[],[],[],[]
Kwality Wall's Swirl's Happiness Station,Banashankari,2.8,516,200,['10 AM'],['11 PM'],"Ice Cream, Desserts","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Vinay Bhel Corner,Banashankari,3.1,56,100,['530 PM'],['930 PM'],Street Food,['Vegetarian Only'],[],[],[],[],[],[]
Aarush's Food Plaza,Banashankari,NA,Not enough,200,['7 AM'],['11 PM'],"North Indian, Chinese","['Breakfast', 'Home Delivery']",[],[],[],[],[],[]
Matru Sagar,Banashankari,3.2,553,250,['7 AM'],['10 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],"['MasalaDosa', 'Coffee']",[],[],[]
Sri Yaksha Shiv Sagar,Banashankari,3.1,56,600,['12 No'],['1030 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Faasos,Banashankari,3.1,5174,500,['9 AM'],['11 PM'],"Fast Food, North Indian",['Home Delivery'],[],[],"['ChocolateFantasy', 'ChickenRoll', 'EggWrap']",[],[],[]
Rosewood International Hotel - Bar & Restaurant,Banashankari,NA,Not enough,300,['12 No'],['11 PM'],"North Indian, South Indian, Andhra, Chinese","['Home Delivery', 'Wheelchair Accessible', 'Full Bar Available', 'Valet Parking AvailableSmoking AreaLive Sports ScreeningOutdoor Seating']",[],[],[],[],[],[]
SBR Restaurant,Banashankari,NA,Not enough,500,['11 AM'],['11 PM'],"Chinese, North Indian",['Home Delivery'],[],[],[],[],[],[]
Maiyas Restaurants Pvt Ltd,Banashankari,3.2,526,300,['7 AM'],['1030 PM'],"South Indian, Fast Food","['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
The Krishna Grand,Banashankari,3.7,5571,750,['7 AM'],['11 PM'],"North Indian, South Indian, Chinese, Fast Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Wifi']",['Veggie friendly'],[],"['GobhiManchurian', 'SpringRoll', 'Breakfast', 'Coffee', 'MasalaPapad', 'TandooriPlatter']","['CourteousStaff', 'FriendlyService']",[],[]
Empire Restaurant,Banashankari,4,51401,600,['12 No'],['1 AM'],"Biryani, Kerala, Mughlai, Arabian, North Indian, Juices","['Home Delivery', 'Buffet']",[],[],"['KalmiKebab', 'GrillChicken', 'BrainFry', 'AlFahamChicken', 'ChilliChicken', 'ChickenSoup']",['FriendlyStaff'],[],[]
Foodiction,Banashankari,2.5,5168,500,['11 AM'],['12 Mi'],"North Indian, Continental, Chinese","['Home Delivery', 'Wallet AcceptedLive Sports ScreeningLive Music']",[],[],['GrilledChicken'],[],[],[]
A2B Veg - Adyar Ananda Bhavan,Banashankari,2.2,561,350,['7 AM'],['11 PM'],"South Indian, North Indian, Street Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],"['MasalaDosa', 'WatermelonJuice']",[],[],[]
Vidyarthi Bhavan,Banashankari,4.2,52984,150,"['630 AM', '2 PM']","['1130 AM', '8 PM']",South Indian,"['Breakfast', 'Home Delivery', 'Vegetarian Only']",['Legendary outlets'],['Decadesold'],"['FilterKaapi', 'FilterCoffee', 'Breakfast', 'BenneMasalaDosa', 'CrispyMasalaDosa', 'MaddurVada']",[],['Decor'],['TheKesariBath']
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,4.2,5137,100,['630 AM'],['830 PM'],South Indian,['Vegetarian Only'],['Legendary outlets'],[],"['MasalaDosa', 'KharaBhath', 'FilterCoffee', 'IdliVada', 'IdliChutney', 'KesariBhaat']",[],[],[]
Manooru Maiya South Kitchen,Banashankari,NA,Not enough,300,"['630 AM', '4 PM']","['130 PM', '930 PM']",South Indian,"['Breakfast', 'Vegetarian Only', 'Self Service']",[],[],[],[],[],[]
Cakes & Slices,Banashankari,3,55,300,['1030 AM'],['1030 PM'],"Bakery, Desserts","['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[]
Cake Art,Banashankari,3.1,58,400,['7 AM'],['9 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[]
Kadamba Classic,Banashankari,NA,Not enough,400,['6 AM'],['1230 AM'],"South Indian, North Indian",['Home Delivery'],[],[],[],[],[],[]
New Sri Banashankari Donne Biriyani Corner,Banashankari,3.2,510,250,"['12 No', '7 PM']","['4 PM', '11 PM']","Andhra, Biryani",[],[],[],[],[],[],[]
Amma's Pastries,Banashankari,3.3,518,400,['10 AM'],['10 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[]
Vinny's,Banashankari,4.1,5810,800,['12 No'],['10 PM'],"Italian, Pizza","['Wheelchair Accessible', 'Serves Non Veg', 'Outdoor Seating']",['Pocket friendly'],[],"['ThinCrustPizza', 'Nachos', 'PenneAlfredo', 'WoodFirePizza', 'ApplePie', 'Manchurian']",['FriendlyStaff'],"['Decor', 'OutdoorAmbience']",['Pasta']
Iyengar's Kitchen,Banashankari,2.8,512,200,"['7 AM', '4 PM']","['11 AM', '9 PM']",South Indian,['Vegetarian Only'],[],[],[],[],[],[]
Sri Venkateshwara Sweet Meat Stall,Banashankari,3.6,556,300,['9 AM'],['10 PM'],"Desserts, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],"['MysorePak', 'PavBhaji', 'RasgullaChaat', 'Panipuri', 'Rasmalai', 'BadamMilk']",[],[],[]
Mabhappa Hindu Military Hotel,Banashankari,NA,Not enough,300,"['12 No', '7 PM']","['5 PM', '1030 PM']",South Indian,[],[],[],[],[],[],[]
The Pizzeria,Banashankari,2.5,529,600,['1130 AM'],['1030 PM'],"Pizza, Italian, Salad","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Mahalaxmi Tiffin Room,Banashankari,3.8,592,100,['8 AM'],['10 PM'],South Indian,['Vegetarian Only'],[],[],"['MasalaDosa', 'FilterCoffee', 'RavaIdli', 'GajarKaHalwa', 'KaliDosa', 'VadaSambhar']",[],[],[]
Shri Banashankari Nati Style,Banashankari,3.1,56,500,"['12 No', '7 PM']","['4 PM', '1030 PM']",South Indian,"['Home Delivery', 'Wifi']",[],[],[],[],[],[]
Kydz Adda,Banashankari,NA,Not enough,500,['10 AM'],['830 PM'],Continental,['Wifi'],[],[],[],[],[],[]
Hari Super Sandwich,Banashankari,3.6,586,200,['10 AM'],['10 PM'],"Fast Food, Street Food","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['ChocolateSandwich', 'CornSandwich', 'CheeseSandwich']",[],[],[]
Gustoes Beer House,Banashankari,3.5,5301,1000,['12 No'],['11 PM'],"Continental, Burger, Mexican, North Indian, Chinese, Steak, Pizza","['Home Delivery', 'Beer', 'NightlifeOutdoor SeatingDrinking Age ApplicableSmoking AreaWifiLive Sports ScreeningRooftop']",[],[],"['Beer', 'Nachos', 'FrenchFries', 'ChickenWings', 'ChilliChicken', 'TandooriPlatter']","['SplendidView', 'RooftopAmbience']",[],[]
Matru Sagar,Banashankari,3.1,510,300,['7 AM'],['11 PM'],"South Indian, North Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
LSD Cafe,Banashankari,2.8,534,700,['7 PM'],['5 AM'],"Chinese, Continental, Italian, North Indian","['Delivery Only', 'Seating Not Available', 'Pre-Ordering RequiredWallet Accepted']",[],[],['Rasmalai'],[],[],[]
